Local Government Area,Residential Total (Mwh),Off Peak Residential Customers,Total Residential Customers,Non-Residential Small-Medium Total (Mwh),Total Non-Residential Small-Medium Customers,Total Non-Residential Large Total (Mwh),Total Non-Residential Large Customers
BAYSIDE,303106,14126,68994,139324,6624,243263,389
BURWOOD,65087,1949,14980,39400,1634,82353,104
CANADA BAY,182505,4442,39234,68567,2957,106080,184
CANTERBURY-BANKSTOWN,711146,33383,136748,243367,12341,488465,634
CUMBERLAND,106693,3678,23852,74987,2772,129471,199
GEORGES RIVER,297245,17757,59764,90073,5802,163036,236
HORNSBY,328311,19890,53838,78495,4365,136919,215
HUNTERS HILL,42405,1229,5634,8105,448 ,12901,21
INNER WEST,354877,8054,86211,181493,8972,213674,372
KU-RING-GAI,331706,13538,45575,56136,2794,93691,158
LANE COVE,89268,1982,16788,37892,1702,69265,128
MOSMAN,86409,1709,14131,22229,1217,13934,37
NORTH SYDNEY,158644,2571,39972,119740,6587,189190,294
NORTHERN BEACHES,591250,29048,109124,195746,11489,280158,440
PARRAMATTA,83819,2318,20819,61158,1896,278475,321
RANDWICK,275778,9060,63203,78863,3601,177757,244
RYDE,242049,8951,52002,114526,4605,374131,495
STRATHFIELD,79300,1933,16241,47984,1828,107163,160
SUTHERLAND SHIRE,590442,40374,93214,146262,8490,224923,341
SYDNEY,401759,4226,115154,744114,32420,1858296,2233
WAVERLEY,158399,2704,35177,53289,2739,92700,146
WILLOUGHBY,161822,4094,32317,98598,5232,230029,294
WOOLLAHRA,184839,3537,28551,54516,2907,48767,83
CENTRAL COAST,879184,79225,157794,219851,13054,501668,668
CESSNOCK,178862,10431,29208,45818,1938,73369,128
LAKE MACQUARIE,529362,51888,92307,129395,7566,189013,377
MAITLAND,225251,12749,38914,70457,3281,79550,143
MUSWELLBROOK,53770,4361,7534,28114,1352,19180,42
NEWCASTLE,360116,28443,75264,175816,8595,256280,463
PORT STEPHENS,209101,23229,36848,61210,3218,87202,184
UPPER HUNTER,43393,3468,5966,22252,1267,9286,24